Workload	Configuration	Runtime Cycles	Walk Cycles	Non-Walk Cycles
BTree	F	447663337244514	0	447663337244514
BTree	F+M	456936734568626	0	456936734568626
BTree	I	513278776688249	0	513278776688249
BTree	I+M	477667620438577	0	477667620438577
HashJoin	F	162861029005902	0	162861029005902
HashJoin	F+M	126604163640772	0	126604163640772
HashJoin	I	49580727859209	0	49580727859209
HashJoin	I+M	48854794572536	0	48854794572536
XSBench	F	170194799285663	0	170194799285663
XSBench	F+M	145322741608095	0	145322741608095
XSBench	I	47763686354879	0	47763686354879
XSBench	I+M	46634878939567	0	46634878939567
Canneal	F	5280837427270	0	5280837427270
Canneal	F+M	1671836920233	0	1671836920233
Canneal	I	1479550431523	0	1479550431523
Canneal	I+M	1438833085125	0	1438833085125
Graph500	F	17113090414347	0	17113090414347
Graph500	F+M	18570794518896	0	18570794518896
Graph500	I	5530038178147	0	5530038178147
Graph500	I+M	5107445012179	0	5107445012179
