Workload	Configuration	Walk Cycles	Non-Walk Cycles	 Norm. Perf.
BTree	F	0.000000	1.000000	1.000000
BTree	F+M	0.000000	1.020715	1.020715
BTree	I	0.000000	1.146573	1.146573
BTree	I+M	0.000000	1.067024	1.067024
HashJoin	F	0.000000	1.000000	1.000000
HashJoin	F+M	0.000000	0.777375	0.777375
HashJoin	I	0.000000	0.304436	0.304436
HashJoin	I+M	0.000000	0.299978	0.299978
XSBench	F	0.000000	1.000000	1.000000
XSBench	F+M	0.000000	0.853861	0.853861
XSBench	I	0.000000	0.280641	0.280641
XSBench	I+M	0.000000	0.274009	0.274009
Canneal	F	0.000000	1.000000	1.000000
Canneal	F+M	0.000000	0.316586	0.316586
Canneal	I	0.000000	0.280173	0.280173
Canneal	I+M	0.000000	0.272463	0.272463
Graph500	F	0.000000	1.000000	1.000000
Graph500	F+M	0.000000	1.085181	1.085181
Graph500	I	0.000000	0.323147	0.323147
Graph500	I+M	0.000000	0.298453	0.298453
