Workload	Configuration	Walk Cycles	Non-Walk Cycles	 Norm. Perf.
GUPS	LP-LD	0.000000	1.000000	1.000000
GUPS	RPI-LD	0.000000	7.142357	7.142357
BTree	LP-LD	0.000000	1.000000	1.000000
BTree	RPI-LD	0.000000	1.007453	1.007453
HashJoin	LP-LD	0.000000	1.000000	1.000000
HashJoin	RPI-LD	0.000000	3.249819	3.249819
Redis	LP-LD	0.000000	1.000000	1.000000
Redis	RPI-LD	0.000000	1.941521	1.941521
XSBench	LP-LD	0.000000	1.000000	1.000000
XSBench	RPI-LD	0.000000	3.340220	3.340220
Canneal	LP-LD	0.000000	1.000000	1.000000
Canneal	RPI-LD	0.000000	5.748489	5.748489
