Workload	Configuration	Walk Cycles	Non-Walk Cycles	 Norm. Perf.
BTree	F	0.000000	1.000000	1.000000
BTree	F+M	0.000000	1.242475	1.242475
BTree	I	0.000000	1.239946	1.239946
BTree	I+M	0.000000	1.075347	1.075347
HashJoin	F	0.000000	1.000000	1.000000
HashJoin	F+M	0.000000	1.201016	1.201016
HashJoin	I	0.000000	0.149873	0.149873
HashJoin	I+M	0.000000	0.165448	0.165448
Canneal	F	0.000000	1.000000	1.000000
Canneal	F+M	0.000000	0.418036	0.418036
Canneal	I	0.000000	0.277506	0.277506
Canneal	I+M	0.000000	0.271842	0.271842
