8         Threads
100       Connections per thread
100000    Requests per client


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency    p100 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       406924.59    192328.62    214595.97         1.98515         1.84700         3.43900         7.35900     23082.35 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     406924.59    192328.62    214595.97         1.98515         1.84700         3.43900         7.35900     23082.35 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000       100.00
---
GET       0.023         0.00
GET       1.663         5.00
GET       1.703        10.00
GET       1.727        15.00
GET       1.751        20.00
GET       1.767        25.00
GET       1.783        30.00
GET       1.799        35.00
GET       1.815        40.00
GET       1.831        45.00
GET       1.847        50.00
GET       1.855        52.50
GET       1.871        55.00
GET       1.879        57.50
GET       1.887        60.00
GET       1.903        62.50
GET       1.919        65.00
GET       1.943        67.50
GET       1.967        70.00
GET       1.999        72.50
GET       2.063        75.00
GET       2.175        76.25
GET       2.239        77.50
GET       2.271        78.75
GET       2.287        80.00
GET       2.319        81.25
GET       2.335        82.50
GET       2.351        83.75
GET       2.367        85.00
GET       2.383        86.25
GET       2.415        87.50
GET       2.431        88.12
GET       2.431        88.75
GET       2.463        89.38
GET       2.495        90.00
GET       2.527        90.62
GET       2.559        91.25
GET       2.591        91.88
GET       2.623        92.50
GET       2.655        93.12
GET       2.671        93.75
GET       2.687        94.06
GET       2.703        94.38
GET       2.719        94.69
GET       2.735        95.00
GET       2.751        95.31
GET       2.751        95.62
GET       2.767        95.94
GET       2.783        96.25
GET       2.815        96.56
GET       2.831        96.88
GET       2.831        97.03
GET       2.847        97.19
GET       2.863        97.34
GET       2.879        97.50
GET       2.895        97.66
GET       2.911        97.81
GET       2.927        97.97
GET       2.959        98.12
GET       2.991        98.28
GET       3.039        98.44
GET       3.071        98.52
GET       3.135        98.59
GET       3.231        98.67
GET       3.311        98.75
GET       3.375        98.83
GET       3.407        98.91
GET       3.439        98.98
GET       3.471        99.06
GET       3.487        99.14
GET       3.519        99.22
GET       3.535        99.26
GET       3.535        99.30
GET       3.551        99.34
GET       3.567        99.38
GET       3.583        99.41
GET       3.599        99.45
GET       3.615        99.49
GET       3.631        99.53
GET       3.647        99.57
GET       3.679        99.61
GET       3.695        99.63
GET       3.711        99.65
GET       3.743        99.67
GET       3.807        99.69
GET       3.951        99.71
GET       4.223        99.73
GET       4.575        99.75
GET       4.927        99.77
GET       5.279        99.79
GET       5.663        99.80
GET       5.855        99.81
GET       6.015        99.82
GET       6.207        99.83
GET       6.399        99.84
GET       6.559        99.85
GET       6.719        99.86
GET       6.911        99.87
GET       7.071        99.88
GET       7.231        99.89
GET       7.391        99.90
GET       7.487        99.91
GET       7.583        99.91
GET       7.647        99.92
GET       7.743        99.92
GET       7.839        99.93
GET       7.935        99.93
GET       8.063        99.94
GET       8.159        99.94
GET       8.319        99.95
GET       8.447        99.95
GET       8.511        99.95
GET       8.639        99.96
GET       8.703        99.96
GET       8.831        99.96
GET       8.959        99.96
GET       9.087        99.97
GET       9.279        99.97
GET       9.471        99.97
GET       9.663        99.97
GET       9.855        99.98
GET       9.919        99.98
GET      10.047        99.98
GET      10.175        99.98
GET      10.239        99.98
GET      10.367        99.98
GET      10.495        99.98
GET      10.623        99.98
GET      10.751        99.99
GET      10.943        99.99
GET      11.199        99.99
GET      11.327        99.99
GET      11.519        99.99
GET      11.711        99.99
GET      12.031        99.99
GET      12.607        99.99
GET      13.823        99.99
GET      15.231        99.99
GET      17.407        99.99
GET      20.095        99.99
GET      23.295        99.99
GET      25.599        99.99
GET      28.415        99.99
GET      31.231        99.99
GET      34.303       100.00
GET      37.375       100.00
GET      40.447       100.00
GET      46.079       100.00
GET      52.223       100.00
GET      58.367       100.00
GET      64.767       100.00
GET      68.095       100.00
GET      71.167       100.00
GET      74.751       100.00
GET      80.383       100.00
GET      87.039       100.00
GET      94.207       100.00
GET     101.375       100.00
GET     108.543       100.00
GET     115.711       100.00
GET     123.391       100.00
GET     126.975       100.00
GET     130.559       100.00
GET     134.143       100.00
GET     138.239       100.00
GET     142.335       100.00
GET     148.479       100.00
GET     157.695       100.00
GET     168.959       100.00
GET     180.223       100.00
GET     192.511       100.00
GET     197.631       100.00
GET     202.751       100.00
GET     208.895       100.00
GET     214.015       100.00
GET     220.159       100.00
GET     226.303       100.00
GET     232.447       100.00
GET     237.567       100.00
GET     243.711       100.00
GET     248.831       100.00
GET     251.903       100.00
GET     254.975       100.00
GET     257.023       100.00
GET     260.095       100.00
GET     264.191       100.00
GET     266.239       100.00
GET     268.287       100.00
GET     272.383       100.00
GET     274.431       100.00
GET     278.527       100.00
GET     278.527       100.00
GET     280.575       100.00
GET     282.623       100.00
GET     284.671       100.00
GET     284.671       100.00
GET     288.767       100.00
GET     290.815       100.00
GET     292.863       100.00
GET     294.911       100.00
GET     296.959       100.00
GET     299.007       100.00
GET     301.055       100.00
GET     303.103       100.00
GET     303.103       100.00
GET     305.151       100.00
GET     309.247       100.00
GET     309.247       100.00
GET     311.295       100.00
GET     315.391       100.00
GET     315.391       100.00
GET     317.439       100.00
GET     319.487       100.00
GET     321.535       100.00
GET     321.535       100.00
GET     325.631       100.00
GET     325.631       100.00
GET     327.679       100.00
GET     329.727       100.00
GET     331.775       100.00
GET     331.775       100.00
GET     331.775       100.00
GET     331.775       100.00
GET     333.823       100.00
GET     333.823       100.00
GET     335.871       100.00
GET     335.871       100.00
GET     337.919       100.00
GET     337.919       100.00
GET     339.967       100.00
GET     342.015       100.00
GET     342.015       100.00
GET     342.015       100.00
GET     342.015       100.00
GET     344.063       100.00
GET     344.063       100.00
GET     344.063       100.00
GET     344.063       100.00
GET     348.159       100.00
GET     348.159       100.00
GET     348.159       100.00
GET     348.159       100.00
GET     348.159       100.00
GET     348.159       100.00
GET     350.207       100.00
GET     350.207       100.00
GET     350.207       100.00
GET     350.207       100.00
GET     350.207       100.00
GET     350.207       100.00
GET     350.207       100.00
GET     350.207       100.00
GET     350.207       100.00
GET     350.207       100.00
GET     354.303       100.00
GET     354.303       100.00
GET     354.303       100.00
GET     354.303       100.00
GET     354.303       100.00
GET     354.303       100.00
GET     354.303       100.00
GET     354.303       100.00
GET     354.303       100.00
GET     354.303       100.00
GET     356.351       100.00
GET     356.351       100.00
---
WAIT      0.000       100.00
