8         Threads
100       Connections per thread
100000    Requests per client


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency    p100 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       440310.81    208163.60    232147.20         1.91571         1.79900         3.23100         7.42300     24979.64 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     440310.81    208163.60    232147.20         1.91571         1.79900         3.23100         7.42300     24979.64 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000       100.00
---
GET       0.023         0.00
GET       1.623         5.00
GET       1.671        10.00
GET       1.695        15.00
GET       1.711        20.00
GET       1.727        25.00
GET       1.743        30.00
GET       1.759        35.00
GET       1.767        40.00
GET       1.783        45.00
GET       1.799        50.00
GET       1.807        52.50
GET       1.815        55.00
GET       1.823        57.50
GET       1.839        60.00
GET       1.847        62.50
GET       1.863        65.00
GET       1.879        67.50
GET       1.895        70.00
GET       1.919        72.50
GET       1.983        75.00
GET       2.095        76.25
GET       2.143        77.50
GET       2.159        78.75
GET       2.191        80.00
GET       2.207        81.25
GET       2.223        82.50
GET       2.223        83.75
GET       2.239        85.00
GET       2.255        86.25
GET       2.271        87.50
GET       2.271        88.12
GET       2.287        88.75
GET       2.287        89.38
GET       2.303        90.00
GET       2.319        90.62
GET       2.319        91.25
GET       2.335        91.88
GET       2.351        92.50
GET       2.383        93.12
GET       2.431        93.75
GET       2.479        94.06
GET       2.527        94.38
GET       2.543        94.69
GET       2.575        95.00
GET       2.591        95.31
GET       2.607        95.62
GET       2.639        95.94
GET       2.655        96.25
GET       2.671        96.56
GET       2.687        96.88
GET       2.703        97.03
GET       2.703        97.19
GET       2.719        97.34
GET       2.735        97.50
GET       2.751        97.66
GET       2.767        97.81
GET       2.783        97.97
GET       2.799        98.12
GET       2.815        98.28
GET       2.847        98.44
GET       2.863        98.52
GET       2.879        98.59
GET       2.895        98.67
GET       2.927        98.75
GET       2.991        98.83
GET       3.119        98.91
GET       3.215        98.98
GET       3.263        99.06
GET       3.295        99.14
GET       3.327        99.22
GET       3.343        99.26
GET       3.359        99.30
GET       3.375        99.34
GET       3.391        99.38
GET       3.407        99.41
GET       3.423        99.45
GET       3.439        99.49
GET       3.455        99.53
GET       3.471        99.57
GET       3.503        99.61
GET       3.519        99.63
GET       3.535        99.65
GET       3.567        99.67
GET       3.599        99.69
GET       3.775        99.71
GET       4.079        99.73
GET       4.415        99.75
GET       4.799        99.77
GET       5.215        99.79
GET       5.599        99.80
GET       5.791        99.81
GET       5.983        99.82
GET       6.175        99.83
GET       6.367        99.84
GET       6.559        99.85
GET       6.751        99.86
GET       6.943        99.87
GET       7.103        99.88
GET       7.295        99.89
GET       7.455        99.90
GET       7.551        99.91
GET       7.615        99.91
GET       7.711        99.92
GET       7.807        99.92
GET       7.903        99.93
GET       7.999        99.93
GET       8.095        99.94
GET       8.255        99.94
GET       8.383        99.95
GET       8.575        99.95
GET       8.639        99.95
GET       8.767        99.96
GET       8.895        99.96
GET       9.023        99.96
GET       9.151        99.96
GET       9.279        99.97
GET       9.471        99.97
GET       9.663        99.97
GET       9.855        99.97
GET      10.047        99.98
GET      10.175        99.98
GET      10.239        99.98
GET      10.367        99.98
GET      10.431        99.98
GET      10.559        99.98
GET      10.687        99.98
GET      10.815        99.98
GET      10.943        99.99
GET      11.135        99.99
GET      11.391        99.99
GET      11.519        99.99
GET      11.775        99.99
GET      12.159        99.99
GET      13.055        99.99
GET      14.271        99.99
GET      16.063        99.99
GET      18.431        99.99
GET      21.247        99.99
GET      24.447        99.99
GET      29.695        99.99
GET      32.767        99.99
GET      35.583        99.99
GET      38.655        99.99
GET      43.263       100.00
GET      49.151       100.00
GET      55.039       100.00
GET      61.183       100.00
GET      67.583       100.00
GET      75.263       100.00
GET      84.479       100.00
GET      88.575       100.00
GET      95.743       100.00
GET     102.399       100.00
GET     109.567       100.00
GET     116.735       100.00
GET     123.391       100.00
GET     131.071       100.00
GET     140.287       100.00
GET     157.695       100.00
GET     162.815       100.00
GET     173.055       100.00
GET     184.319       100.00
GET     194.559       100.00
GET     205.823       100.00
GET     216.063       100.00
GET     227.327       100.00
GET     235.519       100.00
GET     236.543       100.00
GET     241.663       100.00
GET     252.927       100.00
GET     259.071       100.00
GET     266.239       100.00
GET     274.431       100.00
GET     276.479       100.00
GET     276.479       100.00
GET     276.479       100.00
GET     282.623       100.00
GET     299.007       100.00
GET     315.391       100.00
GET     321.535       100.00
GET     323.583       100.00
GET     323.583       100.00
GET     325.631       100.00
GET     325.631       100.00
GET     325.631       100.00
GET     327.679       100.00
GET     327.679       100.00
GET     327.679       100.00
GET     327.679       100.00
GET     327.679       100.00
GET     327.679       100.00
GET     327.679       100.00
GET     329.727       100.00
GET     329.727       100.00
GET     329.727       100.00
GET     331.775       100.00
GET     333.823       100.00
GET     333.823       100.00
GET     333.823       100.00
GET     333.823       100.00
GET     333.823       100.00
GET     333.823       100.00
GET     333.823       100.00
GET     333.823       100.00
GET     333.823       100.00
GET     333.823       100.00
GET     333.823       100.00
GET     333.823       100.00
GET     333.823       100.00
GET     333.823       100.00
GET     333.823       100.00
GET     333.823       100.00
GET     333.823       100.00
GET     333.823       100.00
GET     333.823       100.00
GET     333.823       100.00
GET     333.823       100.00
GET     333.823       100.00
GET     333.823       100.00
GET     333.823       100.00
GET     333.823       100.00
GET     333.823       100.00
GET     333.823       100.00
GET     333.823       100.00
GET     335.871       100.00
GET     337.919       100.00
GET     339.967       100.00
GET     339.967       100.00
GET     344.063       100.00
GET     344.063       100.00
GET     344.063       100.00
GET     346.111       100.00
GET     346.111       100.00
GET     346.111       100.00
GET     346.111       100.00
GET     350.207       100.00
GET     350.207       100.00
GET     350.207       100.00
GET     350.207       100.00
GET     352.255       100.00
GET     352.255       100.00
GET     352.255       100.00
GET     352.255       100.00
GET     354.303       100.00
GET     354.303       100.00
GET     354.303       100.00
GET     354.303       100.00
GET     358.399       100.00
GET     358.399       100.00
GET     358.399       100.00
GET     358.399       100.00
GET     358.399       100.00
GET     358.399       100.00
GET     360.447       100.00
GET     360.447       100.00
GET     360.447       100.00
GET     360.447       100.00
GET     360.447       100.00
GET     360.447       100.00
GET     360.447       100.00
GET     360.447       100.00
GET     360.447       100.00
GET     360.447       100.00
GET     364.543       100.00
GET     364.543       100.00
---
WAIT      0.000       100.00
