8         Threads
100       Connections per thread
100000    Requests per client


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency    p100 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       403851.56    190872.62    212978.94         2.00733         1.93500         3.13500         7.51900     22907.81 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     403851.56    190872.62    212978.94         2.00733         1.93500         3.13500         7.51900     22907.81 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000       100.00
---
GET       0.023         0.00
GET       1.775         5.00
GET       1.815        10.00
GET       1.839        15.00
GET       1.855        20.00
GET       1.863        25.00
GET       1.879        30.00
GET       1.895        35.00
GET       1.903        40.00
GET       1.919        45.00
GET       1.935        50.00
GET       1.943        52.50
GET       1.951        55.00
GET       1.959        57.50
GET       1.967        60.00
GET       1.975        62.50
GET       1.983        65.00
GET       1.999        67.50
GET       2.015        70.00
GET       2.039        72.50
GET       2.079        75.00
GET       2.095        76.25
GET       2.111        77.50
GET       2.127        78.75
GET       2.127        80.00
GET       2.143        81.25
GET       2.159        82.50
GET       2.159        83.75
GET       2.175        85.00
GET       2.191        86.25
GET       2.191        87.50
GET       2.207        88.12
GET       2.207        88.75
GET       2.207        89.38
GET       2.223        90.00
GET       2.223        90.62
GET       2.223        91.25
GET       2.239        91.88
GET       2.239        92.50
GET       2.255        93.12
GET       2.271        93.75
GET       2.287        94.06
GET       2.303        94.38
GET       2.351        94.69
GET       2.591        95.00
GET       2.703        95.31
GET       2.735        95.62
GET       2.767        95.94
GET       2.799        96.25
GET       2.815        96.56
GET       2.847        96.88
GET       2.847        97.03
GET       2.863        97.19
GET       2.879        97.34
GET       2.879        97.50
GET       2.895        97.66
GET       2.911        97.81
GET       2.927        97.97
GET       2.943        98.12
GET       2.959        98.28
GET       2.975        98.44
GET       2.991        98.52
GET       3.007        98.59
GET       3.023        98.67
GET       3.039        98.75
GET       3.055        98.83
GET       3.087        98.91
GET       3.119        98.98
GET       3.167        99.06
GET       3.199        99.14
GET       3.231        99.22
GET       3.247        99.26
GET       3.247        99.30
GET       3.263        99.34
GET       3.279        99.38
GET       3.295        99.41
GET       3.311        99.45
GET       3.327        99.49
GET       3.343        99.53
GET       3.359        99.57
GET       3.391        99.61
GET       3.407        99.63
GET       3.423        99.65
GET       3.471        99.67
GET       3.615        99.69
GET       3.887        99.71
GET       4.223        99.73
GET       4.607        99.75
GET       4.991        99.77
GET       5.375        99.79
GET       5.727        99.80
GET       5.919        99.81
GET       6.111        99.82
GET       6.303        99.83
GET       6.495        99.84
GET       6.687        99.85
GET       6.879        99.86
GET       7.039        99.87
GET       7.231        99.88
GET       7.391        99.89
GET       7.583        99.90
GET       7.647        99.91
GET       7.743        99.91
GET       7.839        99.92
GET       7.935        99.92
GET       7.999        99.93
GET       8.095        99.93
GET       8.191        99.94
GET       8.319        99.94
GET       8.447        99.95
GET       8.575        99.95
GET       8.639        99.95
GET       8.703        99.96
GET       8.767        99.96
GET       8.895        99.96
GET       8.959        99.96
GET       9.087        99.97
GET       9.215        99.97
GET       9.407        99.97
GET       9.599        99.97
GET       9.727        99.98
GET       9.855        99.98
GET       9.919        99.98
GET       9.983        99.98
GET      10.111        99.98
GET      10.175        99.98
GET      10.303        99.98
GET      10.367        99.98
GET      10.495        99.99
GET      10.623        99.99
GET      10.815        99.99
GET      10.879        99.99
GET      11.007        99.99
GET      11.199        99.99
GET      11.647        99.99
GET      12.479        99.99
GET      13.823        99.99
GET      15.167        99.99
GET      17.535        99.99
GET      20.479        99.99
GET      23.807        99.99
GET      26.111        99.99
GET      28.799        99.99
GET      31.871        99.99
GET      35.071       100.00
GET      38.143       100.00
GET      41.983       100.00
GET      46.847       100.00
GET      52.479       100.00
GET      58.879       100.00
GET      65.279       100.00
GET      68.607       100.00
GET      72.191       100.00
GET      76.799       100.00
GET      82.943       100.00
GET      89.087       100.00
GET      96.255       100.00
GET     103.935       100.00
GET     111.103       100.00
GET     118.783       100.00
GET     125.951       100.00
GET     130.047       100.00
GET     134.143       100.00
GET     138.239       100.00
GET     143.359       100.00
GET     149.503       100.00
GET     154.623       100.00
GET     161.791       100.00
GET     169.983       100.00
GET     177.151       100.00
GET     185.343       100.00
GET     190.463       100.00
GET     195.583       100.00
GET     201.727       100.00
GET     206.847       100.00
GET     211.967       100.00
GET     218.111       100.00
GET     223.231       100.00
GET     229.375       100.00
GET     234.495       100.00
GET     240.639       100.00
GET     243.711       100.00
GET     245.759       100.00
GET     248.831       100.00
GET     250.879       100.00
GET     253.951       100.00
GET     257.023       100.00
GET     260.095       100.00
GET     264.191       100.00
GET     266.239       100.00
GET     270.335       100.00
GET     272.383       100.00
GET     274.431       100.00
GET     274.431       100.00
GET     276.479       100.00
GET     278.527       100.00
GET     280.575       100.00
GET     282.623       100.00
GET     284.671       100.00
GET     288.767       100.00
GET     288.767       100.00
GET     290.815       100.00
GET     292.863       100.00
GET     292.863       100.00
GET     294.911       100.00
GET     296.959       100.00
GET     299.007       100.00
GET     301.055       100.00
GET     303.103       100.00
GET     307.199       100.00
GET     307.199       100.00
GET     309.247       100.00
GET     311.295       100.00
GET     313.343       100.00
GET     315.391       100.00
GET     317.439       100.00
GET     319.487       100.00
GET     321.535       100.00
GET     323.583       100.00
GET     327.679       100.00
GET     329.727       100.00
GET     329.727       100.00
GET     333.823       100.00
GET     335.871       100.00
GET     337.919       100.00
GET     339.967       100.00
GET     339.967       100.00
GET     344.063       100.00
GET     344.063       100.00
GET     346.111       100.00
GET     348.159       100.00
GET     348.159       100.00
GET     348.159       100.00
GET     348.159       100.00
GET     350.207       100.00
GET     350.207       100.00
GET     352.255       100.00
GET     352.255       100.00
GET     354.303       100.00
GET     354.303       100.00
GET     354.303       100.00
GET     354.303       100.00
GET     354.303       100.00
GET     354.303       100.00
GET     356.351       100.00
GET     356.351       100.00
GET     356.351       100.00
GET     356.351       100.00
GET     356.351       100.00
GET     356.351       100.00
GET     356.351       100.00
GET     356.351       100.00
GET     356.351       100.00
GET     356.351       100.00
GET     360.447       100.00
GET     360.447       100.00
GET     360.447       100.00
GET     360.447       100.00
GET     360.447       100.00
GET     360.447       100.00
GET     360.447       100.00
GET     360.447       100.00
GET     360.447       100.00
GET     360.447       100.00
GET     364.543       100.00
GET     364.543       100.00
---
WAIT      0.000       100.00
