8         Threads
100       Connections per thread
100000    Requests per client


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency    p100 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       429993.31    203257.63    226735.68         1.94231         1.83100         3.07100         7.23100     24392.51 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     429993.31    203257.63    226735.68         1.94231         1.83100         3.07100         7.23100     24392.51 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000       100.00
---
GET       0.023         0.00
GET       1.647         5.00
GET       1.687        10.00
GET       1.719        15.00
GET       1.735        20.00
GET       1.751        25.00
GET       1.767        30.00
GET       1.783        35.00
GET       1.799        40.00
GET       1.815        45.00
GET       1.831        50.00
GET       1.847        52.50
GET       1.855        55.00
GET       1.863        57.50
GET       1.871        60.00
GET       1.887        62.50
GET       1.895        65.00
GET       1.911        67.50
GET       1.927        70.00
GET       1.951        72.50
GET       1.975        75.00
GET       1.991        76.25
GET       2.007        77.50
GET       2.039        78.75
GET       2.079        80.00
GET       2.143        81.25
GET       2.207        82.50
GET       2.255        83.75
GET       2.287        85.00
GET       2.319        86.25
GET       2.351        87.50
GET       2.367        88.12
GET       2.383        88.75
GET       2.399        89.38
GET       2.415        90.00
GET       2.447        90.62
GET       2.479        91.25
GET       2.511        91.88
GET       2.543        92.50
GET       2.591        93.12
GET       2.623        93.75
GET       2.639        94.06
GET       2.655        94.38
GET       2.671        94.69
GET       2.687        95.00
GET       2.703        95.31
GET       2.719        95.62
GET       2.735        95.94
GET       2.751        96.25
GET       2.767        96.56
GET       2.783        96.88
GET       2.799        97.03
GET       2.799        97.19
GET       2.815        97.34
GET       2.831        97.50
GET       2.847        97.66
GET       2.847        97.81
GET       2.863        97.97
GET       2.879        98.12
GET       2.911        98.28
GET       2.927        98.44
GET       2.943        98.52
GET       2.959        98.59
GET       2.959        98.67
GET       2.991        98.75
GET       3.007        98.83
GET       3.023        98.91
GET       3.071        98.98
GET       3.119        99.06
GET       3.199        99.14
GET       3.311        99.22
GET       3.359        99.26
GET       3.407        99.30
GET       3.439        99.34
GET       3.455        99.38
GET       3.487        99.41
GET       3.503        99.45
GET       3.535        99.49
GET       3.567        99.53
GET       3.599        99.57
GET       3.631        99.61
GET       3.663        99.63
GET       3.679        99.65
GET       3.727        99.67
GET       3.759        99.69
GET       3.839        99.71
GET       4.047        99.73
GET       4.383        99.75
GET       4.767        99.77
GET       5.151        99.79
GET       5.535        99.80
GET       5.727        99.81
GET       5.919        99.82
GET       6.111        99.83
GET       6.271        99.84
GET       6.463        99.85
GET       6.655        99.86
GET       6.815        99.87
GET       6.975        99.88
GET       7.135        99.89
GET       7.295        99.90
GET       7.359        99.91
GET       7.455        99.91
GET       7.551        99.92
GET       7.647        99.92
GET       7.743        99.93
GET       7.839        99.93
GET       7.967        99.94
GET       8.095        99.94
GET       8.255        99.95
GET       8.383        99.95
GET       8.447        99.95
GET       8.575        99.96
GET       8.703        99.96
GET       8.767        99.96
GET       8.895        99.96
GET       9.087        99.97
GET       9.215        99.97
GET       9.471        99.97
GET       9.663        99.97
GET       9.919        99.98
GET      10.111        99.98
GET      10.239        99.98
GET      10.367        99.98
GET      10.495        99.98
GET      10.623        99.98
GET      10.815        99.98
GET      10.943        99.98
GET      11.135        99.99
GET      11.455        99.99
GET      11.839        99.99
GET      12.095        99.99
GET      12.415        99.99
GET      12.735        99.99
GET      13.183        99.99
GET      13.759        99.99
GET      15.231        99.99
GET      17.407        99.99
GET      20.351        99.99
GET      23.551        99.99
GET      29.183        99.99
GET      32.255        99.99
GET      35.327        99.99
GET      38.399        99.99
GET      42.495       100.00
GET      47.615       100.00
GET      52.991       100.00
GET      59.391       100.00
GET      65.535       100.00
GET      72.191       100.00
GET      83.455       100.00
GET      90.111       100.00
GET      97.791       100.00
GET     104.959       100.00
GET     112.639       100.00
GET     119.807       100.00
GET     126.975       100.00
GET     134.143       100.00
GET     144.383       100.00
GET     158.719       100.00
GET     176.127       100.00
GET     185.343       100.00
GET     195.583       100.00
GET     205.823       100.00
GET     209.919       100.00
GET     216.063       100.00
GET     226.303       100.00
GET     234.495       100.00
GET     238.591       100.00
GET     242.687       100.00
GET     246.783       100.00
GET     249.855       100.00
GET     252.927       100.00
GET     254.975       100.00
GET     257.023       100.00
GET     259.071       100.00
GET     266.239       100.00
GET     270.335       100.00
GET     272.383       100.00
GET     274.431       100.00
GET     276.479       100.00
GET     276.479       100.00
GET     278.527       100.00
GET     278.527       100.00
GET     278.527       100.00
GET     280.575       100.00
GET     280.575       100.00
GET     282.623       100.00
GET     282.623       100.00
GET     286.719       100.00
GET     288.767       100.00
GET     290.815       100.00
GET     290.815       100.00
GET     292.863       100.00
GET     292.863       100.00
GET     292.863       100.00
GET     294.911       100.00
GET     294.911       100.00
GET     294.911       100.00
GET     296.959       100.00
GET     296.959       100.00
GET     296.959       100.00
GET     296.959       100.00
GET     296.959       100.00
GET     299.007       100.00
GET     303.103       100.00
GET     305.151       100.00
GET     311.295       100.00
GET     319.487       100.00
GET     325.631       100.00
GET     333.823       100.00
GET     335.871       100.00
GET     339.967       100.00
GET     344.063       100.00
GET     346.111       100.00
GET     350.207       100.00
GET     354.303       100.00
GET     358.399       100.00
GET     362.495       100.00
GET     366.591       100.00
GET     366.591       100.00
GET     370.687       100.00
GET     370.687       100.00
GET     374.783       100.00
GET     374.783       100.00
GET     376.831       100.00
GET     378.879       100.00
GET     380.927       100.00
GET     382.975       100.00
GET     385.023       100.00
GET     389.119       100.00
GET     389.119       100.00
GET     389.119       100.00
GET     389.119       100.00
GET     391.167       100.00
GET     391.167       100.00
GET     393.215       100.00
GET     393.215       100.00
GET     395.263       100.00
GET     395.263       100.00
GET     395.263       100.00
GET     395.263       100.00
GET     395.263       100.00
GET     395.263       100.00
GET     399.359       100.00
GET     399.359       100.00
GET     399.359       100.00
GET     399.359       100.00
GET     401.407       100.00
GET     401.407       100.00
GET     401.407       100.00
GET     401.407       100.00
GET     401.407       100.00
GET     401.407       100.00
GET     405.503       100.00
GET     405.503       100.00
GET     405.503       100.00
GET     405.503       100.00
GET     405.503       100.00
GET     405.503       100.00
GET     405.503       100.00
GET     405.503       100.00
GET     405.503       100.00
GET     405.503       100.00
GET     409.599       100.00
GET     409.599       100.00
---
WAIT      0.000       100.00
