8         Threads
100       Connections per thread
100000    Requests per client


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency    p100 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       445671.13    311442.80    134228.33         1.85773         1.75900         2.78300         6.01500     31569.35 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     445671.13    311442.80    134228.33         1.85773         1.75900         2.78300         6.01500     31569.35 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000       100.00
---
GET       0.031         0.00
GET       1.607         5.00
GET       1.655        10.00
GET       1.679        15.00
GET       1.695        20.00
GET       1.711        25.00
GET       1.719        30.00
GET       1.735        35.00
GET       1.743        40.00
GET       1.751        45.00
GET       1.759        50.00
GET       1.767        52.50
GET       1.775        55.00
GET       1.775        57.50
GET       1.783        60.00
GET       1.791        62.50
GET       1.791        65.00
GET       1.799        67.50
GET       1.807        70.00
GET       1.815        72.50
GET       1.815        75.00
GET       1.823        76.25
GET       1.831        77.50
GET       1.831        78.75
GET       1.839        80.00
GET       1.847        81.25
GET       1.855        82.50
GET       1.863        83.75
GET       1.879        85.00
GET       1.911        86.25
GET       2.287        87.50
GET       2.431        88.12
GET       2.479        88.75
GET       2.511        89.38
GET       2.527        90.00
GET       2.543        90.62
GET       2.575        91.25
GET       2.591        91.88
GET       2.591        92.50
GET       2.607        93.12
GET       2.623        93.75
GET       2.639        94.06
GET       2.639        94.38
GET       2.655        94.69
GET       2.655        95.00
GET       2.655        95.31
GET       2.671        95.62
GET       2.671        95.94
GET       2.687        96.25
GET       2.687        96.56
GET       2.703        96.88
GET       2.703        97.03
GET       2.703        97.19
GET       2.719        97.34
GET       2.719        97.50
GET       2.719        97.66
GET       2.735        97.81
GET       2.735        97.97
GET       2.735        98.12
GET       2.751        98.28
GET       2.751        98.44
GET       2.751        98.52
GET       2.767        98.59
GET       2.767        98.67
GET       2.767        98.75
GET       2.783        98.83
GET       2.783        98.91
GET       2.783        98.98
GET       2.799        99.06
GET       2.799        99.14
GET       2.815        99.22
GET       2.831        99.26
GET       2.831        99.30
GET       2.847        99.34
GET       2.847        99.38
GET       2.863        99.41
GET       2.879        99.45
GET       2.911        99.49
GET       2.943        99.53
GET       3.007        99.57
GET       3.119        99.61
GET       3.183        99.63
GET       3.263        99.65
GET       3.343        99.67
GET       3.423        99.69
GET       3.519        99.71
GET       3.663        99.73
GET       3.871        99.75
GET       4.079        99.77
GET       4.351        99.79
GET       4.607        99.80
GET       4.735        99.81
GET       4.895        99.82
GET       5.023        99.83
GET       5.183        99.84
GET       5.343        99.85
GET       5.471        99.86
GET       5.631        99.87
GET       5.759        99.88
GET       5.919        99.89
GET       6.015        99.90
GET       6.079        99.91
GET       6.143        99.91
GET       6.207        99.92
GET       6.239        99.92
GET       6.303        99.93
GET       6.335        99.93
GET       6.399        99.94
GET       6.431        99.94
GET       6.463        99.95
GET       6.495        99.95
GET       6.527        99.95
GET       6.559        99.96
GET       6.559        99.96
GET       6.591        99.96
GET       6.623        99.96
GET       6.655        99.97
GET       6.687        99.97
GET       6.719        99.97
GET       6.751        99.97
GET       6.783        99.98
GET       6.783        99.98
GET       6.815        99.98
GET       6.847        99.98
GET       6.879        99.98
GET       6.911        99.98
GET       6.943        99.98
GET       7.039        99.98
GET       7.103        99.99
GET       7.263        99.99
GET       7.711        99.99
GET       8.255        99.99
GET       8.895        99.99
GET       9.727        99.99
GET      10.815        99.99
GET      12.223        99.99
GET      14.399        99.99
GET      16.319        99.99
GET      19.583        99.99
GET      23.551        99.99
GET      27.135        99.99
GET      30.079        99.99
GET      34.047        99.99
GET      37.887        99.99
GET      41.727       100.00
GET      45.567       100.00
GET      49.151       100.00
GET      56.063       100.00
GET      63.999       100.00
GET      72.191       100.00
GET      79.871       100.00
GET      83.967       100.00
GET      88.063       100.00
GET      91.647       100.00
GET      97.279       100.00
GET     105.983       100.00
GET     115.711       100.00
GET     124.415       100.00
GET     134.143       100.00
GET     143.359       100.00
GET     152.575       100.00
GET     157.695       100.00
GET     161.791       100.00
GET     166.911       100.00
GET     171.007       100.00
GET     176.127       100.00
GET     180.223       100.00
GET     187.391       100.00
GET     201.727       100.00
GET     215.039       100.00
GET     229.375       100.00
GET     236.543       100.00
GET     243.711       100.00
GET     249.855       100.00
GET     257.023       100.00
GET     264.191       100.00
GET     270.335       100.00
GET     278.527       100.00
GET     284.671       100.00
GET     292.863       100.00
GET     299.007       100.00
GET     303.103       100.00
GET     307.199       100.00
GET     309.247       100.00
GET     313.343       100.00
GET     317.439       100.00
GET     319.487       100.00
GET     323.583       100.00
GET     327.679       100.00
GET     329.727       100.00
GET     333.823       100.00
GET     335.871       100.00
GET     337.919       100.00
GET     339.967       100.00
GET     342.015       100.00
GET     342.015       100.00
GET     344.063       100.00
GET     346.111       100.00
GET     348.159       100.00
GET     350.207       100.00
GET     352.255       100.00
GET     352.255       100.00
GET     354.303       100.00
GET     354.303       100.00
GET     354.303       100.00
GET     356.351       100.00
GET     356.351       100.00
GET     358.399       100.00
GET     358.399       100.00
GET     360.447       100.00
GET     360.447       100.00
GET     360.447       100.00
GET     360.447       100.00
GET     360.447       100.00
GET     362.495       100.00
GET     362.495       100.00
GET     362.495       100.00
GET     364.543       100.00
GET     364.543       100.00
GET     364.543       100.00
GET     364.543       100.00
GET     364.543       100.00
GET     364.543       100.00
GET     364.543       100.00
GET     366.591       100.00
GET     366.591       100.00
GET     366.591       100.00
GET     366.591       100.00
GET     366.591       100.00
GET     366.591       100.00
GET     366.591       100.00
GET     366.591       100.00
GET     368.639       100.00
GET     368.639       100.00
GET     368.639       100.00
GET     368.639       100.00
GET     368.639       100.00
GET     368.639       100.00
GET     368.639       100.00
GET     368.639       100.00
GET     370.687       100.00
GET     370.687       100.00
GET     370.687       100.00
GET     370.687       100.00
GET     370.687       100.00
GET     370.687       100.00
GET     370.687       100.00
GET     370.687       100.00
GET     370.687       100.00
GET     370.687       100.00
GET     370.687       100.00
GET     370.687       100.00
GET     370.687       100.00
GET     370.687       100.00
GET     372.735       100.00
GET     372.735       100.00
---
WAIT      0.000       100.00
