8         Threads
100       Connections per thread
100000    Requests per client


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency    p100 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       429918.73    300399.01    129519.72         1.91764         1.83900         2.89500         6.04700     30451.25 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     429918.73    300399.01    129519.72         1.91764         1.83900         2.89500         6.04700     30451.25 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000       100.00
---
GET       0.031         0.00
GET       1.695         5.00
GET       1.735        10.00
GET       1.759        15.00
GET       1.783        20.00
GET       1.791        25.00
GET       1.807        30.00
GET       1.815        35.00
GET       1.823        40.00
GET       1.831        45.00
GET       1.839        50.00
GET       1.847        52.50
GET       1.847        55.00
GET       1.855        57.50
GET       1.863        60.00
GET       1.863        62.50
GET       1.871        65.00
GET       1.871        67.50
GET       1.879        70.00
GET       1.887        72.50
GET       1.887        75.00
GET       1.895        76.25
GET       1.895        77.50
GET       1.903        78.75
GET       1.903        80.00
GET       1.911        81.25
GET       1.911        82.50
GET       1.919        83.75
GET       1.927        85.00
GET       1.935        86.25
GET       1.943        87.50
GET       1.951        88.12
GET       1.967        88.75
GET       1.991        89.38
GET       2.191        90.00
GET       2.527        90.62
GET       2.607        91.25
GET       2.639        91.88
GET       2.671        92.50
GET       2.687        93.12
GET       2.703        93.75
GET       2.719        94.06
GET       2.735        94.38
GET       2.735        94.69
GET       2.751        95.00
GET       2.751        95.31
GET       2.767        95.62
GET       2.767        95.94
GET       2.783        96.25
GET       2.783        96.56
GET       2.799        96.88
GET       2.799        97.03
GET       2.799        97.19
GET       2.815        97.34
GET       2.815        97.50
GET       2.815        97.66
GET       2.831        97.81
GET       2.831        97.97
GET       2.831        98.12
GET       2.847        98.28
GET       2.847        98.44
GET       2.863        98.52
GET       2.863        98.59
GET       2.863        98.67
GET       2.863        98.75
GET       2.879        98.83
GET       2.879        98.91
GET       2.895        98.98
GET       2.895        99.06
GET       2.911        99.14
GET       2.911        99.22
GET       2.927        99.26
GET       2.927        99.30
GET       2.927        99.34
GET       2.943        99.38
GET       2.959        99.41
GET       2.975        99.45
GET       2.991        99.49
GET       3.023        99.53
GET       3.087        99.57
GET       3.167        99.61
GET       3.215        99.63
GET       3.279        99.65
GET       3.343        99.67
GET       3.423        99.69
GET       3.535        99.71
GET       3.695        99.73
GET       3.919        99.75
GET       4.159        99.77
GET       4.447        99.79
GET       4.735        99.80
GET       4.895        99.81
GET       5.055        99.82
GET       5.183        99.83
GET       5.343        99.84
GET       5.471        99.85
GET       5.599        99.86
GET       5.727        99.87
GET       5.855        99.88
GET       5.983        99.89
GET       6.079        99.90
GET       6.143        99.91
GET       6.175        99.91
GET       6.207        99.92
GET       6.271        99.92
GET       6.303        99.93
GET       6.335        99.93
GET       6.367        99.94
GET       6.431        99.94
GET       6.463        99.95
GET       6.495        99.95
GET       6.527        99.95
GET       6.527        99.96
GET       6.559        99.96
GET       6.559        99.96
GET       6.591        99.96
GET       6.623        99.97
GET       6.655        99.97
GET       6.687        99.97
GET       6.719        99.97
GET       6.751        99.98
GET       6.751        99.98
GET       6.783        99.98
GET       6.815        99.98
GET       6.847        99.98
GET       6.879        99.98
GET       6.911        99.98
GET       6.975        99.98
GET       7.071        99.99
GET       7.295        99.99
GET       8.159        99.99
GET       8.895        99.99
GET       9.663        99.99
GET      10.239        99.99
GET      11.135        99.99
GET      12.863        99.99
GET      14.655        99.99
GET      16.639        99.99
GET      19.839        99.99
GET      23.807        99.99
GET      27.263        99.99
GET      30.463        99.99
GET      34.303        99.99
GET      38.399        99.99
GET      42.495       100.00
GET      46.335       100.00
GET      49.919       100.00
GET      56.575       100.00
GET      64.767       100.00
GET      72.703       100.00
GET      80.895       100.00
GET      84.991       100.00
GET      89.087       100.00
GET      93.183       100.00
GET      98.815       100.00
GET     108.031       100.00
GET     117.247       100.00
GET     126.975       100.00
GET     136.191       100.00
GET     146.431       100.00
GET     155.647       100.00
GET     159.743       100.00
GET     164.863       100.00
GET     168.959       100.00
GET     174.079       100.00
GET     178.175       100.00
GET     183.295       100.00
GET     189.439       100.00
GET     203.775       100.00
GET     218.111       100.00
GET     232.447       100.00
GET     239.615       100.00
GET     245.759       100.00
GET     252.927       100.00
GET     260.095       100.00
GET     268.287       100.00
GET     274.431       100.00
GET     282.623       100.00
GET     288.767       100.00
GET     296.959       100.00
GET     303.103       100.00
GET     307.199       100.00
GET     309.247       100.00
GET     313.343       100.00
GET     317.439       100.00
GET     321.535       100.00
GET     323.583       100.00
GET     327.679       100.00
GET     331.775       100.00
GET     333.823       100.00
GET     337.919       100.00
GET     342.015       100.00
GET     342.015       100.00
GET     344.063       100.00
GET     346.111       100.00
GET     348.159       100.00
GET     348.159       100.00
GET     350.207       100.00
GET     352.255       100.00
GET     354.303       100.00
GET     356.351       100.00
GET     356.351       100.00
GET     358.399       100.00
GET     358.399       100.00
GET     360.447       100.00
GET     360.447       100.00
GET     362.495       100.00
GET     362.495       100.00
GET     362.495       100.00
GET     364.543       100.00
GET     364.543       100.00
GET     364.543       100.00
GET     366.591       100.00
GET     366.591       100.00
GET     366.591       100.00
GET     366.591       100.00
GET     368.639       100.00
GET     368.639       100.00
GET     368.639       100.00
GET     370.687       100.00
GET     370.687       100.00
GET     370.687       100.00
GET     370.687       100.00
GET     370.687       100.00
GET     370.687       100.00
GET     370.687       100.00
GET     372.735       100.00
GET     372.735       100.00
GET     372.735       100.00
GET     372.735       100.00
GET     372.735       100.00
GET     372.735       100.00
GET     372.735       100.00
GET     372.735       100.00
GET     374.783       100.00
GET     374.783       100.00
GET     374.783       100.00
GET     374.783       100.00
GET     376.831       100.00
GET     376.831       100.00
GET     376.831       100.00
GET     376.831       100.00
GET     376.831       100.00
GET     376.831       100.00
GET     376.831       100.00
GET     376.831       100.00
GET     376.831       100.00
GET     376.831       100.00
GET     378.879       100.00
GET     378.879       100.00
---
WAIT      0.000       100.00
