8         Threads
100       Connections per thread
100000    Requests per client


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency    p100 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       450274.68    314607.87    135666.82         1.85353         1.76700         2.81500         5.95100     31969.82 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     450274.68    314607.87    135666.82         1.85353         1.76700         2.81500         5.95100     31969.82 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000       100.00
---
GET       0.031         0.00
GET       1.599         5.00
GET       1.639        10.00
GET       1.663        15.00
GET       1.687        20.00
GET       1.703        25.00
GET       1.719        30.00
GET       1.727        35.00
GET       1.743        40.00
GET       1.759        45.00
GET       1.767        50.00
GET       1.775        52.50
GET       1.775        55.00
GET       1.783        57.50
GET       1.791        60.00
GET       1.799        62.50
GET       1.799        65.00
GET       1.807        67.50
GET       1.815        70.00
GET       1.823        72.50
GET       1.831        75.00
GET       1.839        76.25
GET       1.847        77.50
GET       1.855        78.75
GET       1.855        80.00
GET       1.863        81.25
GET       1.871        82.50
GET       1.887        83.75
GET       1.895        85.00
GET       1.911        86.25
GET       1.967        87.50
GET       2.223        88.12
GET       2.415        88.75
GET       2.463        89.38
GET       2.495        90.00
GET       2.527        90.62
GET       2.543        91.25
GET       2.559        91.88
GET       2.591        92.50
GET       2.607        93.12
GET       2.623        93.75
GET       2.623        94.06
GET       2.639        94.38
GET       2.639        94.69
GET       2.655        95.00
GET       2.655        95.31
GET       2.671        95.62
GET       2.671        95.94
GET       2.687        96.25
GET       2.703        96.56
GET       2.703        96.88
GET       2.703        97.03
GET       2.719        97.19
GET       2.719        97.34
GET       2.735        97.50
GET       2.735        97.66
GET       2.735        97.81
GET       2.751        97.97
GET       2.751        98.12
GET       2.767        98.28
GET       2.767        98.44
GET       2.783        98.52
GET       2.783        98.59
GET       2.783        98.67
GET       2.799        98.75
GET       2.799        98.83
GET       2.799        98.91
GET       2.815        98.98
GET       2.815        99.06
GET       2.831        99.14
GET       2.847        99.22
GET       2.847        99.26
GET       2.863        99.30
GET       2.863        99.34
GET       2.879        99.38
GET       2.879        99.41
GET       2.895        99.45
GET       2.927        99.49
GET       2.959        99.53
GET       3.007        99.57
GET       3.103        99.61
GET       3.151        99.63
GET       3.215        99.65
GET       3.279        99.67
GET       3.359        99.69
GET       3.455        99.71
GET       3.567        99.73
GET       3.759        99.75
GET       3.983        99.77
GET       4.255        99.79
GET       4.543        99.80
GET       4.671        99.81
GET       4.831        99.82
GET       4.991        99.83
GET       5.119        99.84
GET       5.279        99.85
GET       5.439        99.86
GET       5.567        99.87
GET       5.727        99.88
GET       5.855        99.89
GET       5.983        99.90
GET       6.047        99.91
GET       6.079        99.91
GET       6.143        99.92
GET       6.207        99.92
GET       6.239        99.93
GET       6.271        99.93
GET       6.335        99.94
GET       6.367        99.94
GET       6.431        99.95
GET       6.463        99.95
GET       6.495        99.95
GET       6.495        99.96
GET       6.527        99.96
GET       6.559        99.96
GET       6.591        99.96
GET       6.623        99.97
GET       6.623        99.97
GET       6.655        99.97
GET       6.719        99.97
GET       6.751        99.98
GET       6.783        99.98
GET       6.783        99.98
GET       6.815        99.98
GET       6.847        99.98
GET       6.879        99.98
GET       6.943        99.98
GET       6.975        99.98
GET       7.071        99.99
GET       7.263        99.99
GET       7.903        99.99
GET       8.511        99.99
GET       9.215        99.99
GET      10.111        99.99
GET      10.879        99.99
GET      12.479        99.99
GET      14.527        99.99
GET      16.319        99.99
GET      19.199        99.99
GET      23.039        99.99
GET      26.623        99.99
GET      29.567        99.99
GET      33.535        99.99
GET      37.119        99.99
GET      40.959       100.00
GET      44.799       100.00
GET      48.127       100.00
GET      55.039       100.00
GET      63.231       100.00
GET      71.167       100.00
GET      78.847       100.00
GET      82.943       100.00
GET      86.527       100.00
GET      90.623       100.00
GET      96.255       100.00
GET     105.471       100.00
GET     114.687       100.00
GET     123.903       100.00
GET     133.119       100.00
GET     142.335       100.00
GET     151.551       100.00
GET     155.647       100.00
GET     160.767       100.00
GET     164.863       100.00
GET     169.983       100.00
GET     175.103       100.00
GET     179.199       100.00
GET     186.367       100.00
GET     199.679       100.00
GET     214.015       100.00
GET     227.327       100.00
GET     234.495       100.00
GET     240.639       100.00
GET     247.807       100.00
GET     254.975       100.00
GET     262.143       100.00
GET     268.287       100.00
GET     276.479       100.00
GET     282.623       100.00
GET     290.815       100.00
GET     296.959       100.00
GET     301.055       100.00
GET     305.151       100.00
GET     307.199       100.00
GET     311.295       100.00
GET     315.391       100.00
GET     317.439       100.00
GET     321.535       100.00
GET     325.631       100.00
GET     329.727       100.00
GET     331.775       100.00
GET     333.823       100.00
GET     335.871       100.00
GET     337.919       100.00
GET     337.919       100.00
GET     339.967       100.00
GET     342.015       100.00
GET     344.063       100.00
GET     346.111       100.00
GET     348.159       100.00
GET     350.207       100.00
GET     350.207       100.00
GET     350.207       100.00
GET     352.255       100.00
GET     352.255       100.00
GET     352.255       100.00
GET     354.303       100.00
GET     356.351       100.00
GET     356.351       100.00
GET     356.351       100.00
GET     358.399       100.00
GET     358.399       100.00
GET     358.399       100.00
GET     358.399       100.00
GET     358.399       100.00
GET     360.447       100.00
GET     360.447       100.00
GET     362.495       100.00
GET     362.495       100.00
GET     362.495       100.00
GET     362.495       100.00
GET     362.495       100.00
GET     362.495       100.00
GET     364.543       100.00
GET     364.543       100.00
GET     364.543       100.00
GET     364.543       100.00
GET     364.543       100.00
GET     364.543       100.00
GET     366.591       100.00
GET     366.591       100.00
GET     366.591       100.00
GET     366.591       100.00
GET     366.591       100.00
GET     366.591       100.00
GET     366.591       100.00
GET     366.591       100.00
GET     366.591       100.00
GET     366.591       100.00
GET     366.591       100.00
GET     366.591       100.00
GET     366.591       100.00
GET     366.591       100.00
GET     366.591       100.00
GET     368.639       100.00
GET     368.639       100.00
GET     368.639       100.00
GET     368.639       100.00
GET     370.687       100.00
GET     370.687       100.00
---
WAIT      0.000       100.00
