8         Threads
100       Connections per thread
100000    Requests per client


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency    p100 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       439859.44    307373.73    132485.70         1.88669         1.79100         2.83100         5.95100     31233.01 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     439859.44    307373.73    132485.70         1.88669         1.79100         2.83100         5.95100     31233.01 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000       100.00
---
GET       0.031         0.00
GET       1.671         5.00
GET       1.703        10.00
GET       1.719        15.00
GET       1.735        20.00
GET       1.743        25.00
GET       1.759        30.00
GET       1.767        35.00
GET       1.775        40.00
GET       1.783        45.00
GET       1.791        50.00
GET       1.799        52.50
GET       1.799        55.00
GET       1.807        57.50
GET       1.807        60.00
GET       1.815        62.50
GET       1.823        65.00
GET       1.823        67.50
GET       1.831        70.00
GET       1.839        72.50
GET       1.847        75.00
GET       1.855        76.25
GET       1.855        77.50
GET       1.863        78.75
GET       1.871        80.00
GET       1.879        81.25
GET       1.887        82.50
GET       1.895        83.75
GET       1.903        85.00
GET       1.927        86.25
GET       1.959        87.50
GET       2.063        88.12
GET       2.431        88.75
GET       2.543        89.38
GET       2.559        90.00
GET       2.591        90.62
GET       2.607        91.25
GET       2.623        91.88
GET       2.639        92.50
GET       2.655        93.12
GET       2.655        93.75
GET       2.671        94.06
GET       2.671        94.38
GET       2.687        94.69
GET       2.687        95.00
GET       2.687        95.31
GET       2.703        95.62
GET       2.703        95.94
GET       2.719        96.25
GET       2.719        96.56
GET       2.735        96.88
GET       2.735        97.03
GET       2.735        97.19
GET       2.751        97.34
GET       2.751        97.50
GET       2.751        97.66
GET       2.767        97.81
GET       2.767        97.97
GET       2.783        98.12
GET       2.783        98.28
GET       2.799        98.44
GET       2.799        98.52
GET       2.799        98.59
GET       2.815        98.67
GET       2.815        98.75
GET       2.815        98.83
GET       2.831        98.91
GET       2.831        98.98
GET       2.847        99.06
GET       2.847        99.14
GET       2.863        99.22
GET       2.879        99.26
GET       2.879        99.30
GET       2.895        99.34
GET       2.911        99.38
GET       2.911        99.41
GET       2.943        99.45
GET       2.959        99.49
GET       3.007        99.53
GET       3.087        99.57
GET       3.183        99.61
GET       3.231        99.63
GET       3.279        99.65
GET       3.327        99.67
GET       3.391        99.69
GET       3.487        99.71
GET       3.647        99.73
GET       3.839        99.75
GET       4.047        99.77
GET       4.319        99.79
GET       4.575        99.80
GET       4.735        99.81
GET       4.895        99.82
GET       5.055        99.83
GET       5.183        99.84
GET       5.343        99.85
GET       5.471        99.86
GET       5.599        99.87
GET       5.727        99.88
GET       5.855        99.89
GET       5.951        99.90
GET       6.015        99.91
GET       6.079        99.91
GET       6.111        99.92
GET       6.143        99.92
GET       6.207        99.93
GET       6.239        99.93
GET       6.271        99.94
GET       6.303        99.94
GET       6.367        99.95
GET       6.399        99.95
GET       6.399        99.95
GET       6.431        99.96
GET       6.463        99.96
GET       6.463        99.96
GET       6.495        99.96
GET       6.527        99.97
GET       6.527        99.97
GET       6.559        99.97
GET       6.591        99.97
GET       6.623        99.98
GET       6.655        99.98
GET       6.655        99.98
GET       6.687        99.98
GET       6.719        99.98
GET       6.751        99.98
GET       6.783        99.98
GET       6.847        99.98
GET       6.943        99.99
GET       7.103        99.99
GET       7.551        99.99
GET       8.063        99.99
GET       8.767        99.99
GET       9.663        99.99
GET      10.815        99.99
GET      12.223        99.99
GET      14.399        99.99
GET      16.191        99.99
GET      19.583        99.99
GET      23.423        99.99
GET      27.135        99.99
GET      29.951        99.99
GET      33.791        99.99
GET      37.631        99.99
GET      41.471       100.00
GET      45.567       100.00
GET      49.151       100.00
GET      55.807       100.00
GET      63.743       100.00
GET      71.679       100.00
GET      79.871       100.00
GET      83.967       100.00
GET      88.063       100.00
GET      91.647       100.00
GET      96.767       100.00
GET     105.983       100.00
GET     115.199       100.00
GET     124.415       100.00
GET     134.143       100.00
GET     143.359       100.00
GET     152.575       100.00
GET     156.671       100.00
GET     161.791       100.00
GET     165.887       100.00
GET     171.007       100.00
GET     175.103       100.00
GET     180.223       100.00
GET     186.367       100.00
GET     199.679       100.00
GET     214.015       100.00
GET     227.327       100.00
GET     234.495       100.00
GET     241.663       100.00
GET     248.831       100.00
GET     255.999       100.00
GET     264.191       100.00
GET     270.335       100.00
GET     276.479       100.00
GET     284.671       100.00
GET     290.815       100.00
GET     296.959       100.00
GET     301.055       100.00
GET     305.151       100.00
GET     307.199       100.00
GET     311.295       100.00
GET     315.391       100.00
GET     319.487       100.00
GET     321.535       100.00
GET     325.631       100.00
GET     329.727       100.00
GET     333.823       100.00
GET     333.823       100.00
GET     335.871       100.00
GET     337.919       100.00
GET     337.919       100.00
GET     342.015       100.00
GET     342.015       100.00
GET     344.063       100.00
GET     346.111       100.00
GET     348.159       100.00
GET     350.207       100.00
GET     350.207       100.00
GET     352.255       100.00
GET     352.255       100.00
GET     352.255       100.00
GET     354.303       100.00
GET     356.351       100.00
GET     356.351       100.00
GET     356.351       100.00
GET     358.399       100.00
GET     358.399       100.00
GET     358.399       100.00
GET     360.447       100.00
GET     360.447       100.00
GET     360.447       100.00
GET     360.447       100.00
GET     362.495       100.00
GET     362.495       100.00
GET     362.495       100.00
GET     364.543       100.00
GET     364.543       100.00
GET     364.543       100.00
GET     364.543       100.00
GET     364.543       100.00
GET     366.591       100.00
GET     366.591       100.00
GET     366.591       100.00
GET     366.591       100.00
GET     366.591       100.00
GET     368.639       100.00
GET     368.639       100.00
GET     368.639       100.00
GET     368.639       100.00
GET     368.639       100.00
GET     368.639       100.00
GET     368.639       100.00
GET     368.639       100.00
GET     368.639       100.00
GET     368.639       100.00
GET     368.639       100.00
GET     368.639       100.00
GET     368.639       100.00
GET     368.639       100.00
GET     368.639       100.00
GET     370.687       100.00
GET     370.687       100.00
GET     370.687       100.00
GET     370.687       100.00
GET     372.735       100.00
GET     372.735       100.00
---
WAIT      0.000       100.00
