8         Threads
100       Connections per thread
100000    Requests per client


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency    p100 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       448317.88    313299.38    135018.50         1.84043         1.75900         2.83100         6.04700     31834.57 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     448317.88    313299.38    135018.50         1.84043         1.75900         2.83100         6.04700     31834.57 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000       100.00
---
GET       0.031         0.00
GET       1.615         5.00
GET       1.647        10.00
GET       1.671        15.00
GET       1.687        20.00
GET       1.703        25.00
GET       1.711        30.00
GET       1.727        35.00
GET       1.735        40.00
GET       1.743        45.00
GET       1.759        50.00
GET       1.759        52.50
GET       1.767        55.00
GET       1.775        57.50
GET       1.775        60.00
GET       1.783        62.50
GET       1.791        65.00
GET       1.799        67.50
GET       1.807        70.00
GET       1.815        72.50
GET       1.831        75.00
GET       1.831        76.25
GET       1.839        77.50
GET       1.847        78.75
GET       1.855        80.00
GET       1.871        81.25
GET       1.879        82.50
GET       1.895        83.75
GET       1.911        85.00
GET       1.935        86.25
GET       1.959        87.50
GET       1.983        88.12
GET       2.015        88.75
GET       2.111        89.38
GET       2.367        90.00
GET       2.431        90.62
GET       2.479        91.25
GET       2.511        91.88
GET       2.543        92.50
GET       2.559        93.12
GET       2.575        93.75
GET       2.591        94.06
GET       2.591        94.38
GET       2.607        94.69
GET       2.607        95.00
GET       2.623        95.31
GET       2.639        95.62
GET       2.639        95.94
GET       2.655        96.25
GET       2.671        96.56
GET       2.671        96.88
GET       2.687        97.03
GET       2.687        97.19
GET       2.687        97.34
GET       2.703        97.50
GET       2.703        97.66
GET       2.719        97.81
GET       2.719        97.97
GET       2.735        98.12
GET       2.751        98.28
GET       2.767        98.44
GET       2.767        98.52
GET       2.783        98.59
GET       2.783        98.67
GET       2.799        98.75
GET       2.799        98.83
GET       2.815        98.91
GET       2.831        98.98
GET       2.847        99.06
GET       2.863        99.14
GET       2.879        99.22
GET       2.895        99.26
GET       2.895        99.30
GET       2.911        99.34
GET       2.927        99.38
GET       2.943        99.41
GET       2.959        99.45
GET       2.975        99.49
GET       3.007        99.53
GET       3.039        99.57
GET       3.087        99.61
GET       3.135        99.63
GET       3.199        99.65
GET       3.295        99.67
GET       3.407        99.69
GET       3.535        99.71
GET       3.663        99.73
GET       3.839        99.75
GET       4.063        99.77
GET       4.319        99.79
GET       4.575        99.80
GET       4.735        99.81
GET       4.895        99.82
GET       5.023        99.83
GET       5.183        99.84
GET       5.343        99.85
GET       5.503        99.86
GET       5.663        99.87
GET       5.791        99.88
GET       5.919        99.89
GET       6.079        99.90
GET       6.143        99.91
GET       6.175        99.91
GET       6.239        99.92
GET       6.303        99.92
GET       6.335        99.93
GET       6.399        99.93
GET       6.431        99.94
GET       6.495        99.94
GET       6.527        99.95
GET       6.591        99.95
GET       6.623        99.95
GET       6.623        99.96
GET       6.655        99.96
GET       6.687        99.96
GET       6.719        99.96
GET       6.751        99.97
GET       6.783        99.97
GET       6.815        99.97
GET       6.879        99.97
GET       6.943        99.98
GET       6.943        99.98
GET       6.975        99.98
GET       7.039        99.98
GET       7.071        99.98
GET       7.103        99.98
GET       7.167        99.98
GET       7.263        99.98
GET       7.359        99.99
GET       7.551        99.99
GET       7.935        99.99
GET       8.383        99.99
GET       9.087        99.99
GET       9.983        99.99
GET      11.071        99.99
GET      12.735        99.99
GET      14.591        99.99
GET      16.511        99.99
GET      19.711        99.99
GET      23.679        99.99
GET      27.519        99.99
GET      30.207        99.99
GET      34.303        99.99
GET      38.143        99.99
GET      41.983       100.00
GET      46.079       100.00
GET      49.663       100.00
GET      56.063       100.00
GET      64.255       100.00
GET      72.191       100.00
GET      80.383       100.00
GET      84.479       100.00
GET      88.575       100.00
GET      92.671       100.00
GET      97.791       100.00
GET     107.007       100.00
GET     116.223       100.00
GET     125.439       100.00
GET     135.167       100.00
GET     144.383       100.00
GET     153.599       100.00
GET     158.719       100.00
GET     162.815       100.00
GET     167.935       100.00
GET     173.055       100.00
GET     177.151       100.00
GET     181.247       100.00
GET     188.415       100.00
GET     202.751       100.00
GET     216.063       100.00
GET     230.399       100.00
GET     237.567       100.00
GET     244.735       100.00
GET     251.903       100.00
GET     258.047       100.00
GET     266.239       100.00
GET     272.383       100.00
GET     280.575       100.00
GET     286.719       100.00
GET     294.911       100.00
GET     301.055       100.00
GET     305.151       100.00
GET     307.199       100.00
GET     311.295       100.00
GET     315.391       100.00
GET     319.487       100.00
GET     321.535       100.00
GET     325.631       100.00
GET     327.679       100.00
GET     331.775       100.00
GET     335.871       100.00
GET     337.919       100.00
GET     339.967       100.00
GET     342.015       100.00
GET     342.015       100.00
GET     344.063       100.00
GET     346.111       100.00
GET     348.159       100.00
GET     350.207       100.00
GET     352.255       100.00
GET     354.303       100.00
GET     354.303       100.00
GET     356.351       100.00
GET     356.351       100.00
GET     356.351       100.00
GET     358.399       100.00
GET     358.399       100.00
GET     360.447       100.00
GET     360.447       100.00
GET     362.495       100.00
GET     362.495       100.00
GET     362.495       100.00
GET     362.495       100.00
GET     364.543       100.00
GET     364.543       100.00
GET     364.543       100.00
GET     364.543       100.00
GET     366.591       100.00
GET     366.591       100.00
GET     366.591       100.00
GET     366.591       100.00
GET     368.639       100.00
GET     368.639       100.00
GET     368.639       100.00
GET     368.639       100.00
GET     368.639       100.00
GET     370.687       100.00
GET     370.687       100.00
GET     370.687       100.00
GET     370.687       100.00
GET     370.687       100.00
GET     370.687       100.00
GET     372.735       100.00
GET     372.735       100.00
GET     372.735       100.00
GET     372.735       100.00
GET     372.735       100.00
GET     372.735       100.00
GET     372.735       100.00
GET     372.735       100.00
GET     374.783       100.00
GET     374.783       100.00
GET     374.783       100.00
GET     374.783       100.00
GET     374.783       100.00
GET     374.783       100.00
GET     374.783       100.00
GET     374.783       100.00
GET     376.831       100.00
GET     376.831       100.00
GET     376.831       100.00
GET     376.831       100.00
GET     376.831       100.00
GET     376.831       100.00
GET     376.831       100.00
GET     376.831       100.00
GET     376.831       100.00
GET     376.831       100.00
GET     376.831       100.00
GET     376.831       100.00
GET     376.831       100.00
GET     376.831       100.00
GET     376.831       100.00
GET     376.831       100.00
GET     378.879       100.00
GET     378.879       100.00
---
WAIT      0.000       100.00
