8         Threads
100       Connections per thread
100000    Requests per client


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency    p100 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       458046.64    216490.48    241556.16         1.88246         1.75100         3.32700         7.55100     26050.63 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     458046.64    216490.48    241556.16         1.88246         1.75100         3.32700         7.55100     26050.63 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000       100.00
---
GET       0.023         0.00
GET       1.551         5.00
GET       1.607        10.00
GET       1.631        15.00
GET       1.655        20.00
GET       1.671        25.00
GET       1.687        30.00
GET       1.703        35.00
GET       1.719        40.00
GET       1.735        45.00
GET       1.751        50.00
GET       1.759        52.50
GET       1.767        55.00
GET       1.775        57.50
GET       1.783        60.00
GET       1.791        62.50
GET       1.807        65.00
GET       1.823        67.50
GET       1.847        70.00
GET       1.879        72.50
GET       2.063        75.00
GET       2.159        76.25
GET       2.207        77.50
GET       2.223        78.75
GET       2.255        80.00
GET       2.287        81.25
GET       2.303        82.50
GET       2.335        83.75
GET       2.351        85.00
GET       2.383        86.25
GET       2.399        87.50
GET       2.415        88.12
GET       2.431        88.75
GET       2.447        89.38
GET       2.447        90.00
GET       2.463        90.62
GET       2.479        91.25
GET       2.495        91.88
GET       2.495        92.50
GET       2.511        93.12
GET       2.527        93.75
GET       2.543        94.06
GET       2.543        94.38
GET       2.559        94.69
GET       2.559        95.00
GET       2.575        95.31
GET       2.591        95.62
GET       2.607        95.94
GET       2.623        96.25
GET       2.639        96.56
GET       2.655        96.88
GET       2.655        97.03
GET       2.671        97.19
GET       2.687        97.34
GET       2.687        97.50
GET       2.703        97.66
GET       2.719        97.81
GET       2.735        97.97
GET       2.751        98.12
GET       2.783        98.28
GET       2.815        98.44
GET       2.847        98.52
GET       2.879        98.59
GET       2.959        98.67
GET       3.071        98.75
GET       3.199        98.83
GET       3.279        98.91
GET       3.327        98.98
GET       3.359        99.06
GET       3.407        99.14
GET       3.455        99.22
GET       3.471        99.26
GET       3.487        99.30
GET       3.519        99.34
GET       3.535        99.38
GET       3.567        99.41
GET       3.599        99.45
GET       3.615        99.49
GET       3.647        99.53
GET       3.679        99.57
GET       3.727        99.61
GET       3.743        99.63
GET       3.759        99.65
GET       3.791        99.67
GET       3.807        99.69
GET       3.871        99.71
GET       4.015        99.73
GET       4.351        99.75
GET       4.703        99.77
GET       5.119        99.79
GET       5.535        99.80
GET       5.727        99.81
GET       5.951        99.82
GET       6.143        99.83
GET       6.367        99.84
GET       6.591        99.85
GET       6.815        99.86
GET       7.007        99.87
GET       7.199        99.88
GET       7.391        99.89
GET       7.583        99.90
GET       7.679        99.91
GET       7.775        99.91
GET       7.871        99.92
GET       7.935        99.92
GET       8.031        99.93
GET       8.127        99.93
GET       8.255        99.94
GET       8.383        99.94
GET       8.511        99.95
GET       8.703        99.95
GET       8.767        99.95
GET       8.895        99.96
GET       9.023        99.96
GET       9.151        99.96
GET       9.343        99.96
GET       9.471        99.97
GET       9.663        99.97
GET       9.855        99.97
GET       9.983        99.97
GET      10.175        99.98
GET      10.303        99.98
GET      10.367        99.98
GET      10.495        99.98
GET      10.559        99.98
GET      10.687        99.98
GET      10.815        99.98
GET      10.943        99.98
GET      11.135        99.99
GET      11.327        99.99
GET      11.647        99.99
GET      11.839        99.99
GET      12.095        99.99
GET      12.415        99.99
GET      12.863        99.99
GET      14.015        99.99
GET      15.871        99.99
GET      17.791        99.99
GET      20.351        99.99
GET      23.167        99.99
GET      26.751        99.99
GET      29.055        99.99
GET      31.743        99.99
GET      35.071        99.99
GET      38.399       100.00
GET      41.727       100.00
GET      45.823       100.00
GET      50.687       100.00
GET      56.831       100.00
GET      63.231       100.00
GET      70.143       100.00
GET      73.215       100.00
GET      76.287       100.00
GET      79.871       100.00
GET      84.479       100.00
GET      89.599       100.00
GET      95.743       100.00
GET     103.423       100.00
GET     110.591       100.00
GET     117.759       100.00
GET     124.927       100.00
GET     128.511       100.00
GET     132.095       100.00
GET     136.191       100.00
GET     140.287       100.00
GET     145.407       100.00
GET     151.551       100.00
GET     159.743       100.00
GET     169.983       100.00
GET     181.247       100.00
GET     191.487       100.00
GET     197.631       100.00
GET     202.751       100.00
GET     208.895       100.00
GET     214.015       100.00
GET     219.135       100.00
GET     222.207       100.00
GET     227.327       100.00
GET     230.399       100.00
GET     235.519       100.00
GET     241.663       100.00
GET     243.711       100.00
GET     246.783       100.00
GET     249.855       100.00
GET     251.903       100.00
GET     254.975       100.00
GET     258.047       100.00
GET     261.119       100.00
GET     264.191       100.00
GET     266.239       100.00
GET     268.287       100.00
GET     270.335       100.00
GET     272.383       100.00
GET     272.383       100.00
GET     274.431       100.00
GET     276.479       100.00
GET     276.479       100.00
GET     278.527       100.00
GET     280.575       100.00
GET     280.575       100.00
GET     280.575       100.00
GET     280.575       100.00
GET     282.623       100.00
GET     282.623       100.00
GET     284.671       100.00
GET     284.671       100.00
GET     286.719       100.00
GET     288.767       100.00
GET     290.815       100.00
GET     292.863       100.00
GET     296.959       100.00
GET     299.007       100.00
GET     299.007       100.00
GET     301.055       100.00
GET     303.103       100.00
GET     305.151       100.00
GET     305.151       100.00
GET     307.199       100.00
GET     309.247       100.00
GET     311.295       100.00
GET     311.295       100.00
GET     311.295       100.00
GET     313.343       100.00
GET     313.343       100.00
GET     317.439       100.00
GET     317.439       100.00
GET     319.487       100.00
GET     346.111       100.00
GET     346.111       100.00
GET     346.111       100.00
GET     346.111       100.00
GET     346.111       100.00
GET     346.111       100.00
GET     346.111       100.00
GET     346.111       100.00
GET     346.111       100.00
GET     346.111       100.00
GET     346.111       100.00
GET     346.111       100.00
GET     346.111       100.00
GET     346.111       100.00
GET     346.111       100.00
GET     346.111       100.00
GET     346.111       100.00
GET     346.111       100.00
GET     346.111       100.00
GET     346.111       100.00
GET     346.111       100.00
GET     348.159       100.00
GET     348.159       100.00
---
WAIT      0.000       100.00
