8         Threads
100       Connections per thread
100000    Requests per client


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency    p100 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       370400.51    175095.73    195304.78         2.18515         2.09500         3.45500         8.44700     21067.79 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     370400.51    175095.73    195304.78         2.18515         2.09500         3.45500         8.44700     21067.79 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000       100.00
---
GET       0.031         0.00
GET       1.927         5.00
GET       1.959        10.00
GET       1.983        15.00
GET       1.999        20.00
GET       2.015        25.00
GET       2.031        30.00
GET       2.047        35.00
GET       2.063        40.00
GET       2.079        45.00
GET       2.095        50.00
GET       2.111        52.50
GET       2.111        55.00
GET       2.127        57.50
GET       2.143        60.00
GET       2.175        62.50
GET       2.191        65.00
GET       2.223        67.50
GET       2.255        70.00
GET       2.287        72.50
GET       2.303        75.00
GET       2.319        76.25
GET       2.319        77.50
GET       2.335        78.75
GET       2.335        80.00
GET       2.351        81.25
GET       2.367        82.50
GET       2.367        83.75
GET       2.383        85.00
GET       2.383        86.25
GET       2.399        87.50
GET       2.399        88.12
GET       2.415        88.75
GET       2.415        89.38
GET       2.431        90.00
GET       2.431        90.62
GET       2.447        91.25
GET       2.447        91.88
GET       2.463        92.50
GET       2.479        93.12
GET       2.495        93.75
GET       2.511        94.06
GET       2.527        94.38
GET       2.559        94.69
GET       2.607        95.00
GET       2.735        95.31
GET       2.879        95.62
GET       2.943        95.94
GET       2.975        96.25
GET       3.007        96.56
GET       3.039        96.88
GET       3.055        97.03
GET       3.071        97.19
GET       3.087        97.34
GET       3.103        97.50
GET       3.119        97.66
GET       3.135        97.81
GET       3.151        97.97
GET       3.167        98.12
GET       3.199        98.28
GET       3.231        98.44
GET       3.263        98.52
GET       3.279        98.59
GET       3.311        98.67
GET       3.359        98.75
GET       3.391        98.83
GET       3.423        98.91
GET       3.455        98.98
GET       3.487        99.06
GET       3.503        99.14
GET       3.535        99.22
GET       3.551        99.26
GET       3.567        99.30
GET       3.583        99.34
GET       3.599        99.38
GET       3.615        99.41
GET       3.631        99.45
GET       3.663        99.49
GET       3.695        99.53
GET       3.727        99.57
GET       3.807        99.61
GET       3.871        99.63
GET       3.983        99.65
GET       4.191        99.67
GET       4.479        99.69
GET       4.831        99.71
GET       5.183        99.73
GET       5.567        99.75
GET       5.951        99.77
GET       6.367        99.79
GET       6.751        99.80
GET       6.943        99.81
GET       7.103        99.82
GET       7.295        99.83
GET       7.455        99.84
GET       7.615        99.85
GET       7.807        99.86
GET       7.967        99.87
GET       8.127        99.88
GET       8.319        99.89
GET       8.511        99.90
GET       8.639        99.91
GET       8.703        99.91
GET       8.831        99.92
GET       8.959        99.92
GET       9.151        99.93
GET       9.279        99.93
GET       9.471        99.94
GET       9.663        99.94
GET       9.855        99.95
GET      10.111        99.95
GET      10.239        99.95
GET      10.367        99.96
GET      10.495        99.96
GET      10.687        99.96
GET      10.815        99.96
GET      10.943        99.97
GET      11.135        99.97
GET      11.263        99.97
GET      11.455        99.97
GET      11.647        99.98
GET      11.711        99.98
GET      11.839        99.98
GET      11.967        99.98
GET      12.031        99.98
GET      12.159        99.98
GET      12.287        99.98
GET      12.415        99.98
GET      12.543        99.99
GET      12.735        99.99
GET      12.927        99.99
GET      13.055        99.99
GET      13.247        99.99
GET      13.375        99.99
GET      13.631        99.99
GET      13.951        99.99
GET      14.463        99.99
GET      15.551        99.99
GET      18.047        99.99
GET      20.607        99.99
GET      24.191        99.99
GET      26.495        99.99
GET      29.055        99.99
GET      31.999        99.99
GET      35.071       100.00
GET      38.143       100.00
GET      41.983       100.00
GET      47.359       100.00
GET      54.015       100.00
GET      60.671       100.00
GET      67.071       100.00
GET      70.655       100.00
GET      75.263       100.00
GET      80.895       100.00
GET      86.527       100.00
GET      93.183       100.00
GET     100.863       100.00
GET     108.543       100.00
GET     116.735       100.00
GET     124.927       100.00
GET     133.119       100.00
GET     137.215       100.00
GET     141.311       100.00
GET     146.431       100.00
GET     152.575       100.00
GET     158.719       100.00
GET     166.911       100.00
GET     174.079       100.00
GET     181.247       100.00
GET     189.439       100.00
GET     199.679       100.00
GET     204.799       100.00
GET     210.943       100.00
GET     217.087       100.00
GET     222.207       100.00
GET     228.351       100.00
GET     234.495       100.00
GET     240.639       100.00
GET     246.783       100.00
GET     252.927       100.00
GET     258.047       100.00
GET     261.119       100.00
GET     264.191       100.00
GET     268.287       100.00
GET     270.335       100.00
GET     274.431       100.00
GET     276.479       100.00
GET     280.575       100.00
GET     284.671       100.00
GET     290.815       100.00
GET     296.959       100.00
GET     303.103       100.00
GET     305.151       100.00
GET     311.295       100.00
GET     315.391       100.00
GET     319.487       100.00
GET     325.631       100.00
GET     329.727       100.00
GET     333.823       100.00
GET     339.967       100.00
GET     342.015       100.00
GET     346.111       100.00
GET     350.207       100.00
GET     350.207       100.00
GET     354.303       100.00
GET     356.351       100.00
GET     358.399       100.00
GET     360.447       100.00
GET     362.495       100.00
GET     366.591       100.00
GET     366.591       100.00
GET     368.639       100.00
GET     370.687       100.00
GET     372.735       100.00
GET     372.735       100.00
GET     374.783       100.00
GET     376.831       100.00
GET     378.879       100.00
GET     380.927       100.00
GET     382.975       100.00
GET     382.975       100.00
GET     385.023       100.00
GET     385.023       100.00
GET     387.071       100.00
GET     389.119       100.00
GET     391.167       100.00
GET     393.215       100.00
GET     395.263       100.00
GET     397.311       100.00
GET     399.359       100.00
GET     401.407       100.00
GET     401.407       100.00
GET     403.455       100.00
GET     403.455       100.00
GET     405.503       100.00
GET     405.503       100.00
GET     405.503       100.00
GET     405.503       100.00
GET     409.599       100.00
GET     409.599       100.00
GET     411.647       100.00
GET     411.647       100.00
GET     411.647       100.00
GET     411.647       100.00
GET     413.695       100.00
GET     413.695       100.00
GET     413.695       100.00
GET     413.695       100.00
GET     417.791       100.00
GET     417.791       100.00
GET     417.791       100.00
GET     417.791       100.00
GET     417.791       100.00
GET     417.791       100.00
GET     421.887       100.00
GET     421.887       100.00
GET     421.887       100.00
GET     421.887       100.00
GET     421.887       100.00
GET     421.887       100.00
GET     421.887       100.00
GET     421.887       100.00
GET     421.887       100.00
GET     421.887       100.00
GET     423.935       100.00
GET     423.935       100.00
---
WAIT      0.000       100.00
